name,name:nan,name:nan-HJ,name:nan-TL
挹翠橋,Iap-chhùi-kiô,,
晉江街,Chìn-kang-koe,晉江街,Tsìn-kang-kue
晉江街112巷,Chìn-kang-koe 112-hāng,晉江街112巷,Tsìn-kang-kue 112-hāng
晉江街112巷2弄,Chìn-kang-koe 112-hāng 2-lōng,晉江街112巷2弄,Tsìn-kang-kue 112-hāng 2-lōng
晉江街124巷,Chìn-kang-koe 124-hāng,晉江街124巷,Tsìn-kang-kue 124-hāng
晉江街124巷6弄,Chìn-kang-koe 124-hāng 6-lōng,晉江街124巷6弄,Tsìn-kang-kue 124-hāng 6-lōng
晉江街124巷8弄,Chìn-kang-koe 124-hāng 8-lōng,晉江街124巷8弄,Tsìn-kang-kue 124-hāng 8-lōng
晉江街126巷,Chìn-kang-koe 126-hāng,晉江街126巷,Tsìn-kang-kue 126-hāng
晉江街18巷,Chìn-kang-koe 18-hāng,晉江街18巷,Tsìn-kang-kue 18-hāng
晉江街35巷,Chìn-kang-koe 35-hāng,晉江街35巷,Tsìn-kang-kue 35-hāng
晉江街3巷,Chìn-kang-koe 3-hāng,晉江街3巷,Tsìn-kang-kue 3-hāng
晉江街46巷,Chìn-kang-koe 46-hāng,晉江街46巷,Tsìn-kang-kue 46-hāng
晉江街46巷1弄,Chìn-kang-koe 48-hāng 1-lōng,晉江街48巷1弄,Tsìn-kang-kue 48-hāng 1-lōng
晉江街48巷,Chìn-kang-koe 48-hāng,晉江街48巷,Tsìn-kang-kue 48-hāng
晉江街48巷3弄,Chìn-kang-koe 48-hāng 3-lōng,晉江街48巷3弄,Tsìn-kang-kue 48-hāng 3-lōng
晉江街4巷,Chìn-kang-koe 4-hāng,晉江街4巷,Tsìn-kang-kue 4-hāng
晉江街62巷,Chìn-kang-koe 62-hāng,晉江街62巷,Tsìn-kang-kue 62-hāng
晉江街62巷,Chìn-kang-koe 62-hāng,晉江街62巷,Tsìn-kang-kue 62-hāng
晉江街72巷,Chìn-kang-koe 72-hāng,晉江街72巷,Tsìn-kang-kue 72-hāng
晉江街7巷,Chìn-kang-koe 7-hāng,晉江街7巷,Tsìn-kang-kue 7-hāng
晉江街96巷,Chìn-kang-koe 96-hāng,晉江街96巷,Tsìn-kang-kue 96-hāng
晉江街98巷,Chìn-kang-koe 98-hāng,晉江街98巷,Tsìn-kang-kue 98-hāng
晉江街98巷1巷,Chìn-kang-koe 98-hāng 1-lōng,晉江街98巷1巷,Tsìn-kang-kue 98-hāng 1-lōng
格致路,Keh-tì-lō͘,格致路,Keh-tì-lōo
桂林路,Kùi-lîm-lō͘,桂林路,Kuì-lîm-lōo
桃花心木道,Thô-hoe-sim-bo̍k-tō,桃花心木道,Thô-hue-sim-bo̍k-tō
桃園環線,Thô-hn̂g Khoân-sòaⁿ,桃園環線,Thô-hn̂g Khuân-suànn
桃源街,Thô-goân-koe,桃源街,Thô-guân-kue
泰順街,Thài-sūn-koe,泰順街,Thài-sūn-kue
泰順街16巷,Thài-sūn-koe 16-hāng,泰順街16巷,Thài-sūn-kue 16-hāng
泰順街26巷,Thài-sūn-koe 26-hāng,泰順街26巷,Thài-sūn-kue 26-hāng
泰順街27巷,Thài-sūn-koe 27-hāng,泰順街27巷,Thài-sūn-kue 27-hāng
泰順街2巷,Thài-sūn-koe 2-hāng,泰順街2巷,Thài-sūn-kue 2-hāng
泰順街33巷,Thài-sūn-koe 33-hāng,泰順街33巷,Thài-sūn-kue 33-hāng
泰順街38巷,Thài-sūn-koe 38-hāng,泰順街38巷,Thài-sūn-kue 38-hāng
泰順街38巷6弄,Thài-sūn-koe 38-hāng 6-lōng,泰順街38巷6弄,Thài-sūn-kue 38-hāng 6-lōng
泰順街39巷,Thài-sūn-koe 39-hāng,泰順街39巷,Thài-sūn-kue 39-hāng
泰順街40巷,Thài-sūn-koe 40-hāng,泰順街40巷,Thài-sūn-kue 40-hāng
泰順街40巷10弄,Thài-sūn-koe 40-hāng 10-lōng,泰順街40巷10弄,Thài-sūn-kue 40-hāng 10-lōng
泰順街44巷,Thài-sūn-koe 44-hāng,泰順街44巷,Thài-sūn-kue 44-hāng
泰順街50巷,Thài-sūn-koe 50-hāng,泰順街50巷,Thài-sūn-kue 50-hāng
泰順街54巷,Thài-sūn-koe 54-hāng,泰順街54巷,Thài-sūn-kue 54-hāng
泰順街57巷,Thài-sūn-koe 57-hāng,泰順街57巷,Thài-sūn-kue 57-hāng
泰順街60巷,Thài-sūn-koe 60-hāng,泰順街60巷,Thài-sūn-kue 60-hāng
泰順街60巷18弄,Thài-sūn-koe 60-hāng 18-lōng,泰順街60巷18弄,Thài-sūn-kue 60-hāng 18-lōng
