name,alt_name,name:nan-HJ,name:nan,name:nan-TL
金寧鄉,,,Kim-lêng-hiong,
三星鄉,,,Sam-seng-hiong,
大城鄉,,,Toā-siâⁿ-hiong,
番路鄉,,,Hoan-lō͘-hiong,
大同區,,,Tāi-tông-khu,
官田區,,,Koaⁿ-tiān-khu,
新社區,,,Sin-siā-khu,
鳳山區,,鳳山區,Hōng-soaⁿ-khu,Hōng-suann-khu
太保市,,,Thài-pó-chhī,
三芝區,,,Sam-chi-khu,
豐濱鄉,豐濱,,Hong-pin-hiong,
通霄鎮,,,Thong-siau-tìn,
南化區,,,Lâm-hoà-khu,
延平鄉,桃源,,Iân-pêng-hiong,
萬華區,,,Bān-hôa-khu,
南區,,,Lâm-khu,
左營區,,,Chó-iâⁿ-khu,
西湖鄉,,,Se-ô͘-hiong,
長治鄉,Changjhih,,Tióng-tī-hiong,
松山區,松山;台北松山,,Siông-san-khu,
歸仁區,,,Kui-jîn-khu,
玉井區,,,Gio̍k-chéⁿ-khu,
蘇澳鎮,,蘇澳鎮,So͘-ò-tìn,Soo-ò-tìn
大里區,,,Tāi-lí-khu,
南州鄉,,,Lâm-chiu-hiong,
水上鄉,,,Chúi-siōng-hiong,
永安區,,,Éng-an-khu,
埔鹽鄉,,,Po͘-iâm-hiong,
宜蘭縣,,宜蘭縣,Gî-lân-koān,Gî-lân-kuān
萬榮鄉,,,Bān-êng-hiong,
苗栗市,,,Biâu-le̍k-chhī,
霧臺鄉,,,Bū-tâi-hiong,
萬丹鄉,,,Bān-tan-hiong,
泰山區,,泰山區,Thài-san-khu,Thài-san-khu
竹山鎮,,,Tek-san-tìn,
南投市,,,Lâm-tâu-chhī,
新豐鄉,,,Sin-hong-hiong,
七股區,,,Chhit-kó͘-khu,
仁愛區,,,Jîn-ài-khu,
玉里鎮,,,Gio̍k-lí-tìn,
斗南鎮,,,Táu-lâm-tìn,
美濃區,,,Bi-long-khu,
關西鎮,,,Koan-se-tìn,
中西區,,,Tiong-se-khu,
佳里區,,,Ka-lí-khu,
烏日區,,,O͘-ji̍t-khu,
富里鄉,,,Hù-lí-hiong,
文山區,,文山區,Bûn-san-khu,Bûn-san-khu
元長鄉,,,Goân-chióng-hiong,
魚池鄉,,,Hî-tî-hiong,
口湖鄉,,,Kháu-ô͘-hiong,
學甲區,,,Ha̍k-kah-khu,
桃源區,,,Thô-goân-khu,
花壇鄉,花壇,,Hoe-tôaⁿ-hiong,
士林區,,,Sū-lîm-khu,
竹北市,,,Tek-pak-chhī,
大樹區,,,Tōa-chhiū-khu,
東勢區,,,Tang-sì-khu,
竹田鄉,,,Tek-chhân-hiong,
茂林區,,,Bō͘-lîm-khu,
大安區,,,Tāi-an-khu,
臺西鄉,,,Tâi-se-hiong,
八里區,,八里區,Pat-lí-khu,Pat-lí-khu
竹塘鄉,,,Tek-tn̂g-hiong,
大湖鄉,,,Tōa-ô͘-hiong,
觀音區,,,Koan-im-khu,
蘆洲區,,蘆洲區,Lô͘-chiu-khu,Lôo-tsiu-khu
頭屋鄉,,,Thâu-ok-hiong,
新營區,,,Sin-iâⁿ-khu,
九如鄉,,,Kiú-jû-hiong,
龜山區,,,Ku-soaⁿ-khu,
二水鄉,,,Jī-chúi-hiong,
內湖區,,,Lāi-ô͘-khu,
新竹市,,新竹市,Sin-tek-chhī,Sin-tik-tshī
東澳,,,Tang-ò,
南方澳,,,Lâm-hong-ò,
林美,,,Lîm-bí,
九份,,,Káu-hūn,
月眉,,,Gue̍h-bâi,
霧社 Alang paran,巴蘭 Alang paran,,Bū-siā,
臺灣,中華民國,臺灣,Tâi-oân,Tâi-uân
鹽寮,鹽寮村,鹽寮,Iâm-liâu,Iâm-liâu
福德,,,Hok-tik,
南港區,,,Lâm-káng-khu,
新庄子,,,Sin-tsng-á,
臺北市,台北,臺北市,Tâi-pak-chhī,Tâi-pak-tshī
中壢區,,,Tiong-le̍k-khu,
山仔頂,,,Suann-á-tíng,
東引鄉,,,Tang-ín-hiong,
烏坵鄉,Wuciou,,O͘-khiu-hiong,Oo-khiu-hiong
內門區,,,Lāi-mn̂g-khu,
宇老 Uraw,,宇老,Ú-nó͘,Ú-nóo
花園 Mayhoman,,,Hua-hn̂g,
安定區,,,An-tēng-khu,
港口,,,Káng-kháu,
中興新村,,,Tiong-hing Sin-tshun,
二膽島,,二膽島,Jī-táⁿ-tó,Jī-tánn-tó
大坵村,,大坵村,Tōa-khiu-chhun,Tuā-khiu-tshun
小坵村,,小坵村,Sió-Khiu-chhun,Sió-khiu-tshun
橫山鄉,,,Hoâiⁿ-san-hiong,
六甲頂,,,La̍k-kah-téng-á,La̍k-kah-tíng-á
野銀 Ivalino,,,Iá-gîn-tshun,
椰油村 Yayo,,,Iâ-iû-tshun,
朗島村 Iraralay,,,Lóng-tó-tshun,
東清村 Iranmeylek,,,Tang-tshing-tshun,
漁人 Iratay,,,Hî-lîn,
紅頭村 Imorod,,,Âng-thâu,
馬港,馬祖村,馬港,Má-káng,Má-káng
三鶯部落,,,Sam-ing-pōo-lo̍k,
雙冬,,雙冬,Siang-tang,Siang-tang
籬仔內,,,Lî-á-lāi,
屏東縣,,屏東縣,Pîn-tong-koān,Pîn-tong-kuān
西區,,,Se-khu,
東區,,,Tang-khu,
五結鄉,,,Gō͘-kiat-hiong,
蚵仔寮,,,Ô-á-liâu,
白沙鄉,,,Pe̍h-soa-hiong,
二重埔,,,Jī-tiunn-poo,
山佳,山仔腳,山仔跤,Soaⁿ-á-kha,Suann-á-kha
仁武區,,,Jîn-bú-khu,
基隆市,基隆,基隆市,Ke-lâng-chhī,Ke-lâng-tshī
中湖,,中湖,Tiong-ô͘,Tiong-ôo
屈尺,,屈尺,khut-chhioh,khut-tshioh
十二張,,,Cha̍p-jī-tiuⁿ,Tsa̍p-jī-tiunn
溝子口,,溝仔口,Kau-á-káu,Kau-á-káu
埤腹,,埤腹,Pi-pak,Pi-pak
碧潭,赤碧潭,碧潭,Phek-thâm,Phik-thâm
忠治 Tampya,,忠治,Tiong-tī,Tiong-tī
直潭,,直潭,Ti̍t-thâm,Ti̍t-thâm
中央新村,,中央新村,Tiong-iong Sin-chhun,Tiong-iong Sin-tshun
七張,,,Chhit-tiuⁿ,Tshit-tiunn
寶斗厝,,寶斗厝,Pó-táu-chhù,Pó-táu-tshù
大坪林,,,Tōa-pêⁿ-nâ,Tuā-pênn-nâ
檳榔坑,埤塘坑,,Pin-nn̂g-khiⁿ,Pin-nn̂g-khinn
青潭,,青潭,Chheng-thâm,Tshing-thâm
灣潭,,灣潭,Oan-thâm,Uan-thâm
十四張,,,Cha̍p-sì-tiuⁿ,Tsa̍p-sì-tiunn
安坑,,,Àm-khinn,
大學口,,大學口,Tāi-ha̍k-kháu,Tāi-ha̍k-kháu
龜山,,龜山,Ku-soaⁿ,Ku-suann
福山 Tranan,福山部落,福山,Hok-soaⁿ,Hok-suann
公館,,,Kong-koán,Kong-kuán
六張犁,,,La̍k-tiuⁿ-lôe,La̍k-tiunn-lûe
社子,社子島,社仔,Siā-á,Siā-á
天母,三玉,,Thian-bó,
後莊子,,,Āu-tsng-á,
梨山 Slamaw,梨山部落 Slamaw,梨山,Lê-san,Lê-san
楠梓區,,,Lâm-chú-khu,
東碇島,,東碇島,Tang-tiàⁿ-tó,Tang-tiànn-tó
朱厝崙,周厝崙,朱厝崙,Chu-chhù-lūn,Tsu-tshù-lūn
圓環,,圓環,Îⁿ-khoân,Înn-khuân
東門,,,Tang-mn̂g,Tang-mn̂g
三張犁,,三張犁,Saⁿ-tiuⁿ-lôe,Sann-tiunn-luê
景美,景尾;梘尾,景尾,Kéng-bé,Kíng-bé
萬隆,,,Bān-liông,
貓空,猫空,,Bâ-khang,
大直,,,Tuā-ti̍t,
中陂,,,Tiong-pho,
二叭子,,二叭子,Jī-pat-á,Jī-pat-á
五分埔,,,Gōo-hūn-poo,
內挖子,內挖仔,內挖仔,Lāi-ó͘-á,Lāi-óo-á
外挖子,外挖仔,外挖仔,Gōa-ó͘-á,Guā-óo-á
永春陂,,永春埤,Éng-chhun-pi,Íng-tshun-pi
福德坑,,福德坑,Hok-tek-kheⁿ,Hok-tik-khenn
大稻埕,,大稻埕,Tōa-tiū-tiâⁿ,Tuā-tiū-tiânn
山外,,山外,Soaⁿ-gōa,Suann-guā
新塘,,新塘,Sin-tn̂g,Sin-tn̂g
西方,,西方,Sai-hong,Sai-hong
唭哩岸,,,Ki-lí-gān,
石牌,石牌仔,,Tsio̍h-pâi,
油車坑,,油車坑,Iû-chhia-khiⁿ,Iû-tshia-khinn
溼水仔,,,Sip-chúi-á,Sip-tsuí-á
南勢角,,,Lâm-sè-kak,Lâm-sè-kak
潭漧,溪墘仔,溪墘仔,Khe-kîⁿ-á,Khe-kînn-á
竹子湖,竹子湖庄,,Tik-á-ô͘,
後山,,,Āu-suaⁿ,
水尾,,,Tsúi-bé,
劍潭,,劍潭,Kiàm-thâm,Kiàm-thâm
山子腳,,山仔跤,Soaⁿ-á-kha,Suann-á-kha
竹子林,,,Tik-á-nâ,
竹子籃,,,Tik-á-nâ,
西湖,,,Se-ôo,
金門縣,,金門縣,Kim-mn̂g-koān,Kim-mn̂g-kuān
