name,name:nan-HJ,name:nan-TL,name:nan-POJ,name:nan-HJ || name,name:nan-TL | name:nan-POJ,name:nan-HJ || name（name:nan-TL | name:nan-POJ）,Include numbers or ()
漢口街一段,漢口街一段,Hàn-kháu-kue 1-tuānn,Hàn-kháu-koe 1-tōaⁿ,漢口街一段,Hàn-kháu-kue 1-tuānn | Hàn-kháu-koe 1-tōaⁿ,漢口街一段（Hàn-kháu-kue 1-tuānn | Hàn-kháu-koe 1-tōaⁿ）,TRUE
漢口街一段30巷,漢口街一段30巷,Hàn-kháu-kue 1-tuānn 30-hāng,Hàn-kháu-koe 1-tōaⁿ 30-hāng,漢口街一段30巷,Hàn-kháu-kue 1-tuānn 30-hāng | Hàn-kháu-koe 1-tōaⁿ 30-hāng,漢口街一段30巷（Hàn-kháu-kue 1-tuānn 30-hāng | Hàn-kháu-koe 1-tōaⁿ 30-hāng）,TRUE
漢口街一段30巷14弄,漢口街一段30巷14弄,Hàn-kháu-kue 1-tuānn 30-hāng 14-lōng,Hàn-kháu-koe 1-tōaⁿ 30-hāng 14-lōng,漢口街一段30巷14弄,Hàn-kháu-kue 1-tuānn 30-hāng 14-lōng | Hàn-kháu-koe 1-tōaⁿ 30-hāng 14-lōng,漢口街一段30巷14弄（Hàn-kháu-kue 1-tuānn 30-hāng 14-lōng | Hàn-kháu-koe 1-tōaⁿ 30-hāng 14-lōng）,TRUE
漢口街一段68巷,漢口街一段68巷,Hàn-kháu-kue 1-tuānn 68-hāng,Hàn-kháu-koe 1-tōaⁿ 68-hāng,漢口街一段68巷,Hàn-kháu-kue 1-tuānn 68-hāng | Hàn-kháu-koe 1-tōaⁿ 68-hāng,漢口街一段68巷（Hàn-kháu-kue 1-tuānn 68-hāng | Hàn-kháu-koe 1-tōaⁿ 68-hāng）,TRUE
漢口街一段80巷,漢口街一段80巷,Hàn-kháu-kue 1-tuānn 80-hāng,Hàn-kháu-koe 1-tōaⁿ 80-hāng,漢口街一段80巷,Hàn-kháu-kue 1-tuānn 80-hāng | Hàn-kháu-koe 1-tōaⁿ 80-hāng,漢口街一段80巷（Hàn-kháu-kue 1-tuānn 80-hāng | Hàn-kháu-koe 1-tōaⁿ 80-hāng）,TRUE
漢口街一段80巷2弄,漢口街一段80巷2弄,Hàn-kháu-kue 1-tuānn 80-hāng 2-lōng,Hàn-kháu-koe 1-tōaⁿ 80-hāng 2-lōng,漢口街一段80巷2弄,Hàn-kháu-kue 1-tuānn 80-hāng 2-lōng | Hàn-kháu-koe 1-tōaⁿ 80-hāng 2-lōng,漢口街一段80巷2弄（Hàn-kháu-kue 1-tuānn 80-hāng 2-lōng | Hàn-kháu-koe 1-tōaⁿ 80-hāng 2-lōng）,TRUE
漢口街一段80巷4弄,漢口街一段80巷4弄,Hàn-kháu-kue 1-tuānn 80-hāng 4-lōng,Hàn-kháu-koe 1-tōaⁿ 80-hāng 4-lōng,漢口街一段80巷4弄,Hàn-kháu-kue 1-tuānn 80-hāng 4-lōng | Hàn-kháu-koe 1-tōaⁿ 80-hāng 4-lōng,漢口街一段80巷4弄（Hàn-kháu-kue 1-tuānn 80-hāng 4-lōng | Hàn-kháu-koe 1-tōaⁿ 80-hāng 4-lōng）,TRUE
漢本,漢本,Hàn-pún,Hàn-pún,漢本,Hàn-pún,漢本（Hàn-pún）,FALSE
瑪家鄉,,,Má-ka-hiong,瑪家鄉,Má-ka-hiong,瑪家鄉（Má-ka-hiong）,FALSE
碧溪橋,,,Phek-khe-kiô,碧溪橋,Phek-khe-kiô,碧溪橋（Phek-khe-kiô）,FALSE
