name,description
捷運小碧潭站(1號出口),捷運小碧潭站1號出口旁西側人行道(環河路側)(鄰近小碧潭景觀廣場)
向陽南港路口,向陽路49號旁人行道(向陽南港路口)
大安運動中心,辛亥路三段55號前方人行道(大安運動中心)(鄰近國立臺北教育大學)
南京遼寧街口,南京東路三段189號對面(南京遼寧街口東南側)(鄰近遼寧夜市)
忠孝東路三段217巷口,忠孝東路三段221號前方人行道
蘭雅國小,磺溪街80號~82號對面人行道(蘭雅國小東側)
永欣綠地,行義路1號對面停車場
捷運輔大站(4號出口),新莊區 中正路510之1號(鄰近輔仁大學)
松山高中,基隆路一段172巷15號對面人行道(松山高中)
撫順公園,中山北路2段180號對面(鄰近大同大學/雙城街夜市)
內壢復興公園,復華街191號對面復興公園旁人行道
內壢自強公園,強國路46號旁自強公園側人行道
夢幻公園,榮安十三街榮民路口(西南側)
桃園市立圖書館平鎮分館,環南路三段88號右前方人行道
新勢公園,延平路一段181號對面新勢公園旁人行道
新竹三民公園,中央路364-1號(網球場前人行道)
新竹馬偕紀念醫院,光復路二段690號(水源街對面公園人行道)
新源建功一路口,新源街138號(對面人行道)
清華大學(北校門),光復路二段101號(面校門右側人行道)
社子公園,永平街20巷37弄/永平街20巷11弄(社子公園南側)
彰化縣旅遊服務中心,復興路(漁會大樓對面人行道)
員林火車站前廣場,民權街54號對面
三角公園,中山路2段與靜修路交叉處
員林轉運站,靜修路52之1號(彰客與全家前面)
員林高中,靜修路員林高中游泳池旁
保安轉運站,保安轉運站公車侯車亭旁 (文賢路一段)
十鼓文化村站,十鼓文化村門口前方(公車候車亭旁)
南科管理局站,PARK17前廣場(南科三路)
南科健康生活館站,南科七路與環東路二段(南科健康生活館前人行道)
社區中心站,南科社區中心圓形廣場(大順三路)
臺鐵南科站,臺鐵南科站右側(西拉雅大道)
都會公園-台1南停車場站,奇美博物館台1南停車場
都會公園-文華路站,臺南都會公園(文華路二段)
